Sample ID	User ID	Date 	Time 	Gain 	Conc. 	Units 	Norm. coeff.	Formula 	RFU 	nm1 	LED 
.0001%	Default	4/20/2015	11:11 PM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
.001%	Default	4/20/2015	11:12 PM	10.00	NaN	RFU	1.00	nm1	7.1	514	Blue
.01%	Default	4/20/2015	11:12 PM	10.00	NaN	RFU	1.00	nm1	226.0	514	Blue
.1%	Default	4/20/2015	11:12 PM	7.36	NaN	RFU	1.00	nm1	2645.4	514	Blue
1%	Default	4/20/2015	11:13 PM	0.84	NaN	RFU	1.00	nm1	23836.5	514	Blue
10%	Default	4/20/2015	11:13 PM	0.04	NaN	RFU	1.00	nm1	242819.2	514	Blue
Blank	Default	4/20/2015	11:13 PM	10.00	NaN	RFU	1.00	nm1	24.2	514	Blue
Blank	Default	4/20/2015	11:14 PM	10.00	NaN	RFU	1.00	nm1	4.7	514	Blue
Blank	Default	4/20/2015	11:14 PM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A1	Default	4/20/2015	11:14 PM	2.12	NaN	RFU	1.00	nm1	9397.2	514	Blue
Meas A2	Default	4/20/2015	11:15 PM	2.00	NaN	RFU	1.00	nm1	10096.5	514	Blue
Meas A3	Default	4/20/2015	11:15 PM	10.00	NaN	RFU	1.00	nm1	787.8	514	Blue
Meas A4	Default	4/20/2015	11:15 PM	10.00	NaN	RFU	1.00	nm1	151.9	514	Blue
Meas A5	Default	4/20/2015	11:15 PM	2.04	NaN	RFU	1.00	nm1	9867.7	514	Blue
Meas A6	Default	4/20/2015	11:16 PM	10.00	NaN	RFU	1.00	nm1	19.7	514	Blue
Meas A7	Default	4/20/2015	11:16 PM	1.84	NaN	RFU	1.00	nm1	10876.5	514	Blue
Meas A8	Default	4/20/2015	11:16 PM	1.96	NaN	RFU	1.00	nm1	10163.4	514	Blue
Meas A10	Default	4/20/2015	11:17 PM	10.00	NaN	RFU	1.00	nm1	1113.8	514	Blue
Meas A11	Default	4/20/2015	11:17 PM	10.00	NaN	RFU	1.00	nm1	2.1	514	Blue
Meas A12	Default	4/20/2015	11:17 PM	10.00	NaN	RFU	1.00	nm1	39.0	514	Blue
Meas A13	Default	4/20/2015	11:18 PM	2.12	NaN	RFU	1.00	nm1	9440.1	514	Blue
Meas A14	Default	4/20/2015	11:18 PM	10.00	NaN	RFU	1.00	nm1	889.5	514	Blue
Meas A15	Default	4/20/2015	11:18 PM	1.88	NaN	RFU	1.00	nm1	10652.1	514	Blue
Meas A16	Default	4/20/2015	11:19 PM	1.92	NaN	RFU	1.00	nm1	10322.0	514	Blue
Meas A18	Default	4/20/2015	11:19 PM	10.00	NaN	RFU	1.00	nm1	873.8	514	Blue
Meas A19	Default	4/20/2015	11:20 PM	4.84	NaN	RFU	1.00	nm1	4074.3	514	Blue
Meas A20	Default	4/20/2015	11:20 PM	10.00	NaN	RFU	1.00	nm1	502.3	514	Blue
Meas A21	Default	4/20/2015	11:20 PM	6.92	NaN	RFU	1.00	nm1	2794.3	514	Blue
Meas A22	Default	4/20/2015	11:21 PM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A23	Default	4/20/2015	11:21 PM	10.00	NaN	RFU	1.00	nm1	1750.9	514	Blue
Meas A24	Default	4/20/2015	11:21 PM	10.00	NaN	RFU	1.00	nm1	24.0	514	Blue
Meas A25	Default	4/20/2015	11:21 PM	1.72	NaN	RFU	1.00	nm1	11582.0	514	Blue
Meas A26	Default	4/20/2015	11:22 PM	2.84	NaN	RFU	1.00	nm1	7076.8	514	Blue
Meas A27	Default	4/20/2015	11:22 PM	2.00	NaN	RFU	1.00	nm1	10064.5	514	Blue
Meas A28	Default	4/20/2015	11:22 PM	10.00	NaN	RFU	1.00	nm1	644.3	514	Blue
Meas A29	Default	4/20/2015	11:23 PM	1.84	NaN	RFU	1.00	nm1	10875.3	514	Blue
Meas A30	Default	4/20/2015	11:23 PM	3.64	NaN	RFU	1.00	nm1	5402.1	514	Blue
Meas B1	Default	4/20/2015	11:23 PM	1.88	NaN	RFU	1.00	nm1	10457.4	514	Blue
Meas B2	Default	4/20/2015	11:24 PM	2.12	NaN	RFU	1.00	nm1	9437.9	514	Blue
Meas B3	Default	4/20/2015	11:24 PM	1.80	NaN	RFU	1.00	nm1	11160.9	514	Blue
Meas B4	Default	4/20/2015	11:25 PM	2.32	NaN	RFU	1.00	nm1	8567.8	514	Blue
Meas B5	Default	4/20/2015	11:25 PM	1.88	NaN	RFU	1.00	nm1	10533.1	514	Blue
Meas B6	Default	4/20/2015	11:25 PM	1.60	NaN	RFU	1.00	nm1	12585.2	514	Blue
Meas B7	Default	4/20/2015	11:26 PM	2.08	NaN	RFU	1.00	nm1	9637.2	514	Blue
Meas B8	Default	4/20/2015	11:26 PM	2.24	NaN	RFU	1.00	nm1	8939.3	514	Blue
Meas B9	Default	4/20/2015	11:26 PM	1.84	NaN	RFU	1.00	nm1	10856.1	514	Blue
Meas B10	Default	4/20/2015	11:27 PM	2.00	NaN	RFU	1.00	nm1	9958.6	514	Blue
Meas B11	Default	4/20/2015	11:27 PM	1.96	NaN	RFU	1.00	nm1	10130.5	514	Blue
Meas C1	Default	4/20/2015	11:28 PM	1.92	NaN	RFU	1.00	nm1	10481.0	514	Blue
Meas C2	Default	4/20/2015	11:28 PM	2.28	NaN	RFU	1.00	nm1	8803.9	514	Blue
Meas C3	Default	4/20/2015	11:28 PM	1.80	NaN	RFU	1.00	nm1	10995.1	514	Blue
Meas C4	Default	4/20/2015	11:29 PM	1.80	NaN	RFU	1.00	nm1	11052.2	514	Blue
Meas C5	Default	4/20/2015	11:29 PM	1.76	NaN	RFU	1.00	nm1	11287.4	514	Blue
Meas C6	Default	4/20/2015	11:29 PM	1.84	NaN	RFU	1.00	nm1	10875.5	514	Blue
Meas C7	Default	4/20/2015	11:29 PM	2.08	NaN	RFU	1.00	nm1	9665.6	514	Blue
Meas C8	Default	4/20/2015	11:30 PM	1.96	NaN	RFU	1.00	nm1	10235.6	514	Blue
Blank	Default	4/20/2015	11:30 PM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C9	Default	4/20/2015	11:33 PM	2.08	NaN	RFU	1.00	nm1	9629.3	514	Blue
Meas C10	Default	4/20/2015	11:33 PM	1.60	NaN	RFU	1.00	nm1	12351.8	514	Blue
Meas C11	Default	4/20/2015	11:33 PM	1.76	NaN	RFU	1.00	nm1	11409.9	514	Blue
Meas C12	Default	4/20/2015	11:33 PM	2.00	NaN	RFU	1.00	nm1	9905.0	514	Blue
Meas C13	Default	4/20/2015	11:34 PM	4.44	NaN	RFU	1.00	nm1	4506.6	514	Blue
