Sample ID	User ID	Date 	Time 	Gain 	Conc. 	Units 	Norm. coeff.	Formula 	RFU 	nm1 	LED 
.0001%	Default	3/23/2015	8:55 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
.001%	Default	3/23/2015	8:55 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
.01%	Default	3/23/2015	8:56 AM	10.00	NaN	RFU	1.00	nm1	185.1	514	Blue
.01%-2	Default	3/23/2015	8:56 AM	10.00	NaN	RFU	1.00	nm1	166.8	514	Blue
.01%-3	Default	3/23/2015	8:57 AM	10.00	NaN	RFU	1.00	nm1	143.6	514	Blue
.1%-1	Default	3/23/2015	8:58 AM	6.96	NaN	RFU	1.00	nm1	2661.0	514	Blue
.1%-2	Default	3/23/2015	8:58 AM	7.56	NaN	RFU	1.00	nm1	2435.5	514	Blue
.1%-3	Default	3/23/2015	8:59 AM	7.20	NaN	RFU	1.00	nm1	2584.9	514	Blue
1%-1	Default	3/23/2015	9:00 AM	0.76	NaN	RFU	1.00	nm1	25626.9	514	Blue
1%-2	Default	3/23/2015	9:00 AM	0.72	NaN	RFU	1.00	nm1	27521.3	514	Blue
1%-3	Default	3/23/2015	9:01 AM	0.72	NaN	RFU	1.00	nm1	27119.0	514	Blue
10%-1	Default	3/23/2015	9:01 AM	0.04	NaN	RFU	1.00	nm1	258074.0	514	Blue
10%-2	Default	3/23/2015	9:02 AM	0.04	NaN	RFU	1.00	nm1	272582.7	514	Blue
10%-3	Default	3/23/2015	9:02 AM	0.04	NaN	RFU	1.00	nm1	258157.6	514	Blue
Blank-1	Default	3/23/2015	9:04 AM	10.00	NaN	RFU	1.00	nm1	1675.5	514	Blue
Blank-2	Default	3/23/2015	9:05 AM	10.00	NaN	RFU	1.00	nm1	107.3	514	Blue
Blank-3	Default	3/23/2015	9:05 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Blank-4	Default	3/23/2015	9:06 AM	10.00	NaN	RFU	1.00	nm1	8.6	514	Blue
Meas A1	Default	3/23/2015	9:08 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A2	Default	3/23/2015	9:08 AM	10.00	NaN	RFU	1.00	nm1	146.7	514	Blue
Meas Blank	Default	3/23/2015	9:09 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A3	Default	3/23/2015	9:10 AM	10.00	NaN	RFU	1.00	nm1	217.2	514	Blue
Meas A4	Default	3/23/2015	9:10 AM	10.00	NaN	RFU	1.00	nm1	27.5	514	Blue
Meas A5	Default	3/23/2015	9:11 AM	10.00	NaN	RFU	1.00	nm1	43.3	514	Blue
Meas A6	Default	3/23/2015	9:12 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A7	Default	3/23/2015	9:12 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A8	Default	3/23/2015	9:13 AM	10.00	NaN	RFU	1.00	nm1	223.8	514	Blue
Meas Blank	Default	3/23/2015	9:14 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A9	Default	3/23/2015	9:14 AM	10.00	NaN	RFU	1.00	nm1	74.6	514	Blue
Meas A10	Default	3/23/2015	9:15 AM	10.00	NaN	RFU	1.00	nm1	319.9	514	Blue
Meas A11	Default	3/23/2015	9:16 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A12	Default	3/23/2015	9:16 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A13	Default	3/23/2015	9:17 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A14	Default	3/23/2015	9:18 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A15	Default	3/23/2015	9:18 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A16	Default	3/23/2015	9:19 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A17	Default	3/23/2015	9:20 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A18	Default	3/23/2015	9:22 AM	10.00	NaN	RFU	1.00	nm1	0.1	514	Blue
Meas A19	Default	3/23/2015	9:23 AM	10.00	NaN	RFU	1.00	nm1	205.6	514	Blue
Meas A20	Default	3/23/2015	9:24 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A21	Default	3/23/2015	9:24 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A22	Default	3/23/2015	9:25 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A23	Default	3/23/2015	9:26 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A24	Default	3/23/2015	9:26 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A25	Default	3/23/2015	9:27 AM	10.00	NaN	RFU	1.00	nm1	19.5	514	Blue
Meas A26	Default	3/23/2015	9:27 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A27	Default	3/23/2015	9:28 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A28	Default	3/23/2015	9:28 AM	10.00	NaN	RFU	1.00	nm1	134.5	514	Blue
Meas A29	Default	3/23/2015	9:29 AM	10.00	NaN	RFU	1.00	nm1	149.5	514	Blue
Meas Blank	Default	3/23/2015	9:30 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A30	Default	3/23/2015	9:30 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B1	Default	3/23/2015	9:31 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B2	Default	3/23/2015	9:32 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B3	Default	3/23/2015	9:32 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B4	Default	3/23/2015	9:33 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B5	Default	3/23/2015	9:34 AM	10.00	NaN	RFU	1.00	nm1	77.0	514	Blue
Meas B6	Default	3/23/2015	9:34 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B7	Default	3/23/2015	9:35 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B8	Default	3/23/2015	9:35 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B9	Default	3/23/2015	9:36 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B10	Default	3/23/2015	9:37 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B11	Default	3/23/2015	9:37 AM	10.00	NaN	RFU	1.00	nm1	1.3	514	Blue
Meas C1	Default	3/23/2015	9:38 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C2	Default	3/23/2015	9:38 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C3	Default	3/23/2015	9:39 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C4	Default	3/23/2015	9:39 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C5	Default	3/23/2015	9:40 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C6	Default	3/23/2015	9:40 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C7	Default	3/23/2015	9:41 AM	10.00	NaN	RFU	1.00	nm1	1.6	514	Blue
Meas C8	Default	3/23/2015	9:42 AM	10.00	NaN	RFU	1.00	nm1	42.3	514	Blue
Meas C9	Default	3/23/2015	9:42 AM	10.00	NaN	RFU	1.00	nm1	8.5	514	Blue
Meas C10	Default	3/23/2015	9:43 AM	10.00	NaN	RFU	1.00	nm1	110.9	514	Blue
Meas C11	Default	3/23/2015	9:43 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C12	Default	3/23/2015	9:44 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C13	Default	3/23/2015	9:45 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C14	Default	3/23/2015	9:45 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C15	Default	3/23/2015	9:46 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C16	Default	3/23/2015	9:46 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C17	Default	3/23/2015	9:47 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C18	Default	3/23/2015	9:48 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C19	Default	3/23/2015	9:48 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C20	Default	3/23/2015	9:49 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas E1	Default	3/23/2015	9:50 AM	10.00	NaN	RFU	1.00	nm1	562.7	514	Blue
Meas E2	Default	3/23/2015	9:51 AM	10.00	NaN	RFU	1.00	nm1	520.7	514	Blue
Meas E3	Default	3/23/2015	9:51 AM	10.00	NaN	RFU	1.00	nm1	465.4	514	Blue
Meas E4	Default	3/23/2015	9:53 AM	10.00	NaN	RFU	1.00	nm1	497.0	514	Blue
Meas E5	Default	3/23/2015	9:54 AM	10.00	NaN	RFU	1.00	nm1	552.3	514	Blue
Meas E6	Default	3/23/2015	9:54 AM	10.00	NaN	RFU	1.00	nm1	533.8	514	Blue
Meas E7	Default	3/23/2015	9:55 AM	10.00	NaN	RFU	1.00	nm1	580.4	514	Blue
Meas E8	Default	3/23/2015	9:56 AM	10.00	NaN	RFU	1.00	nm1	559.8	514	Blue
