Sample ID	User ID	Date 	Time 	Gain 	Conc. 	Units 	Norm. coeff.	Formula 	RFU 	nm1 	LED 
.0001%	Default	3/31/2015	3:15 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
.001%	Default	3/31/2015	3:16 AM	10.00	NaN	RFU	1.00	nm1	22.8	514	Blue
.01%	Default	3/31/2015	3:16 AM	10.00	NaN	RFU	1.00	nm1	276.8	514	Blue
.1%	Default	3/31/2015	3:16 AM	6.44	NaN	RFU	1.00	nm1	3035.4	514	Blue
1%	Default	3/31/2015	3:17 AM	0.68	NaN	RFU	1.00	nm1	29343.1	514	Blue
10%	Default	3/31/2015	3:17 AM	0.04	NaN	RFU	1.00	nm1	266320.5	514	Blue
10%-2	Default	3/31/2015	3:17 AM	0.04	NaN	RFU	1.00	nm1	261842.2	514	Blue
Blank	Default	3/31/2015	3:19 AM	10.00	NaN	RFU	1.00	nm1	87.7	514	Blue
Blank	Default	3/31/2015	3:19 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas - A1	Default	3/31/2015	3:22 AM	8.72	NaN	RFU	1.00	nm1	2175.6	514	Blue
Meas - A2	Default	3/31/2015	3:22 AM	2.96	NaN	RFU	1.00	nm1	6732.8	514	Blue
Meas - A3	Default	3/31/2015	3:22 AM	10.00	NaN	RFU	1.00	nm1	394.2	514	Blue
Meas - A4	Default	3/31/2015	3:23 AM	10.00	NaN	RFU	1.00	nm1	178.4	514	Blue
Meas - A5	Default	3/31/2015	3:23 AM	3.00	NaN	RFU	1.00	nm1	6578.1	514	Blue
Meas - A6	Default	3/31/2015	3:24 AM	10.00	NaN	RFU	1.00	nm1	50.8	514	Blue
Meas - A7	Default	3/31/2015	3:24 AM	3.04	NaN	RFU	1.00	nm1	6610.1	514	Blue
Blank	Default	3/31/2015	3:24 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas - A8	Default	3/31/2015	3:25 AM	10.00	NaN	RFU	1.00	nm1	1741.6	514	Blue
Meas - A9	Default	3/31/2015	3:25 AM	3.04	NaN	RFU	1.00	nm1	6586.6	514	Blue
Meas - A10	Default	3/31/2015	3:25 AM	10.00	NaN	RFU	1.00	nm1	401.3	514	Blue
Meas - A11	Default	3/31/2015	3:28 AM	10.00	NaN	RFU	1.00	nm1	14.5	514	Blue
Meas - A12	Default	3/31/2015	3:28 AM	10.00	NaN	RFU	1.00	nm1	11.4	514	Blue
Meas - A13	Default	3/31/2015	3:29 AM	3.12	NaN	RFU	1.00	nm1	6370.1	514	Blue
