Sample ID	User ID	Date 	Time 	Gain 	Conc. 	Units 	Norm. coeff.	Formula 	RFU 	nm1 	LED 
.0001%	Default	4/14/2015	4:35 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
.001%	Default	4/14/2015	4:35 AM	10.00	NaN	RFU	1.00	nm1	21.1	514	Blue
.01%	Default	4/14/2015	4:36 AM	10.00	NaN	RFU	1.00	nm1	234.9	514	Blue
.1%	Default	4/14/2015	4:36 AM	7.40	NaN	RFU	1.00	nm1	2601.9	514	Blue
1%	Default	4/14/2015	4:36 AM	0.80	NaN	RFU	1.00	nm1	24714.3	514	Blue
10%	Default	4/14/2015	4:36 AM	0.04	NaN	RFU	1.00	nm1	227576.5	514	Blue
Blank	Default	4/14/2015	4:37 AM	10.00	NaN	RFU	1.00	nm1	28.4	514	Blue
Blank	Default	4/14/2015	4:37 AM	10.00	NaN	RFU	1.00	nm1	4.4	514	Blue
Blank	Default	4/14/2015	4:38 AM	10.00	NaN	RFU	1.00	nm1	3.9	514	Blue
Blank	Default	4/14/2015	4:39 AM	10.00	NaN	RFU	1.00	nm1	12.6	514	Blue
Blank	Default	4/14/2015	4:39 AM	10.00	NaN	RFU	1.00	nm1	11.6	514	Blue
Blank	Default	4/14/2015	4:40 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A1	Default	4/14/2015	4:41 AM	2.56	NaN	RFU	1.00	nm1	7765.0	514	Blue
Meas A2	Default	4/14/2015	4:41 AM	2.12	NaN	RFU	1.00	nm1	9484.5	514	Blue
Meas A3	Default	4/14/2015	4:41 AM	10.00	NaN	RFU	1.00	nm1	320.0	514	Blue
Meas A4	Default	4/14/2015	4:42 AM	10.00	NaN	RFU	1.00	nm1	138.2	514	Blue
Meas A5	Default	4/14/2015	4:42 AM	2.08	NaN	RFU	1.00	nm1	9649.9	514	Blue
Meas A6	Default	4/14/2015	4:42 AM	10.00	NaN	RFU	1.00	nm1	18.6	514	Blue
Meas A7	Default	4/14/2015	4:42 AM	1.88	NaN	RFU	1.00	nm1	10563.8	514	Blue
Meas A8	Default	4/14/2015	4:43 AM	2.12	NaN	RFU	1.00	nm1	9346.4	514	Blue
Meas A10	Default	4/14/2015	4:43 AM	10.00	NaN	RFU	1.00	nm1	764.7	514	Blue
Meas A11	Default	4/14/2015	4:44 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A12	Default	4/14/2015	4:45 AM	10.00	NaN	RFU	1.00	nm1	12.0	514	Blue
Meas A13	Default	4/14/2015	4:45 AM	2.32	NaN	RFU	1.00	nm1	8603.1	514	Blue
Meas A14	Default	4/14/2015	4:45 AM	10.00	NaN	RFU	1.00	nm1	596.9	514	Blue
Meas A15	Default	4/14/2015	4:45 AM	2.04	NaN	RFU	1.00	nm1	9714.9	514	Blue
Meas A16	Default	4/14/2015	4:46 AM	2.16	NaN	RFU	1.00	nm1	9298.6	514	Blue
Meas A18	Default	4/14/2015	4:46 AM	10.00	NaN	RFU	1.00	nm1	771.3	514	Blue
Meas A19	Default	4/14/2015	4:47 AM	8.92	NaN	RFU	1.00	nm1	2139.2	514	Blue
Meas A20	Default	4/14/2015	4:47 AM	10.00	NaN	RFU	1.00	nm1	306.1	514	Blue
Meas A21	Default	4/14/2015	4:50 AM	7.92	NaN	RFU	1.00	nm1	2401.8	514	Blue
Meas A22	Default	4/14/2015	4:50 AM	1.52	NaN	RFU	1.00	nm1	21.7	514	Blue
Meas A23	Default	4/14/2015	4:51 AM	10.00	NaN	RFU	1.00	nm1	1223.9	514	Blue
Meas A24	Default	4/14/2015	4:51 AM	10.00	NaN	RFU	1.00	nm1	20.1	514	Blue
Meas A25	Default	4/14/2015	4:51 AM	2.04	NaN	RFU	1.00	nm1	9624.8	514	Blue
Meas A26	Default	4/14/2015	4:51 AM	3.72	NaN	RFU	1.00	nm1	5316.9	514	Blue
Meas A27	Default	4/14/2015	4:52 AM	2.08	NaN	RFU	1.00	nm1	9570.7	514	Blue
Meas A28	Default	4/14/2015	4:52 AM	10.00	NaN	RFU	1.00	nm1	428.0	514	Blue
Meas A29	Default	4/14/2015	4:52 AM	2.36	NaN	RFU	1.00	nm1	8454.0	514	Blue
Meas A30	Default	4/14/2015	4:52 AM	3.64	NaN	RFU	1.00	nm1	5419.4	514	Blue
Meas B1	Default	4/14/2015	4:54 AM	2.24	NaN	RFU	1.00	nm1	8829.9	514	Blue
Meas B2	Default	4/14/2015	4:55 AM	2.24	NaN	RFU	1.00	nm1	8857.2	514	Blue
Meas B3	Default	4/14/2015	4:55 AM	2.08	NaN	RFU	1.00	nm1	9656.8	514	Blue
Meas B4	Default	4/14/2015	4:55 AM	2.48	NaN	RFU	1.00	nm1	8107.5	514	Blue
Meas B5	Default	4/14/2015	4:55 AM	2.20	NaN	RFU	1.00	nm1	9030.2	514	Blue
Meas B6	Default	4/14/2015	4:56 AM	1.84	NaN	RFU	1.00	nm1	10815.8	514	Blue
Meas B7	Default	4/14/2015	4:56 AM	2.36	NaN	RFU	1.00	nm1	8397.0	514	Blue
Meas B8	Default	4/14/2015	4:56 AM	2.24	NaN	RFU	1.00	nm1	9011.9	514	Blue
Meas B9	Default	4/14/2015	4:56 AM	2.08	NaN	RFU	1.00	nm1	9595.1	514	Blue
Meas B10	Default	4/14/2015	4:57 AM	2.24	NaN	RFU	1.00	nm1	8888.5	514	Blue
Meas B11	Default	4/14/2015	4:57 AM	2.56	NaN	RFU	1.00	nm1	7793.7	514	Blue
Meas C1	Default	4/14/2015	5:00 AM	2.04	NaN	RFU	1.00	nm1	9824.3	514	Blue
Meas C2	Default	4/14/2015	5:00 AM	2.92	NaN	RFU	1.00	nm1	6767.4	514	Blue
Meas C3	Default	4/14/2015	5:01 AM	1.84	NaN	RFU	1.00	nm1	10738.7	514	Blue
Meas C4	Default	4/14/2015	5:01 AM	1.92	NaN	RFU	1.00	nm1	10391.1	514	Blue
Meas C5	Default	4/14/2015	5:02 AM	2.08	NaN	RFU	1.00	nm1	9556.8	514	Blue
Meas C6	Default	4/14/2015	5:02 AM	2.20	NaN	RFU	1.00	nm1	9058.4	514	Blue
Meas C7	Default	4/14/2015	5:02 AM	2.12	NaN	RFU	1.00	nm1	9379.6	514	Blue
