Sample ID	User ID	Date 	Time 	Gain 	Conc. 	Units 	Norm. coeff.	Formula 	RFU 	nm1 	LED 
.0001%	Default	4/7/2015	3:17 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
.001%	Default	4/7/2015	3:18 AM	10.00	NaN	RFU	1.00	nm1	21.7	514	Blue
.01%	Default	4/7/2015	3:18 AM	10.00	NaN	RFU	1.00	nm1	293.2	514	Blue
.1%	Default	4/7/2015	3:18 AM	6.16	NaN	RFU	1.00	nm1	3161.9	514	Blue
1%	Default	4/7/2015	3:19 AM	0.72	NaN	RFU	1.00	nm1	26842.1	514	Blue
10%	Default	4/7/2015	3:19 AM	0.04	NaN	RFU	1.00	nm1	260718.4	514	Blue
Blank	Default	4/7/2015	3:19 AM	3.40	NaN	RFU	1.00	nm1	6026.9	514	Blue
Blank	Default	4/7/2015	3:20 AM	10.00	NaN	RFU	1.00	nm1	3.5	514	Blue
Blank	Default	4/7/2015	3:20 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A1	Default	4/7/2015	3:20 AM	3.20	NaN	RFU	1.00	nm1	6224.6	514	Blue
Meas A2	Default	4/7/2015	3:21 AM	2.12	NaN	RFU	1.00	nm1	9462.8	514	Blue
Meas A3	Default	4/7/2015	3:21 AM	10.00	NaN	RFU	1.00	nm1	343.0	514	Blue
Meas A4	Default	4/7/2015	3:22 AM	10.00	NaN	RFU	1.00	nm1	239.0	514	Blue
Meas A5	Default	4/7/2015	3:22 AM	2.24	NaN	RFU	1.00	nm1	8903.7	514	Blue
Meas A6	Default	4/7/2015	3:22 AM	10.00	NaN	RFU	1.00	nm1	84.4	514	Blue
Meas A7	Default	4/7/2015	3:22 AM	2.16	NaN	RFU	1.00	nm1	9280.9	514	Blue
Meas A8	Default	4/7/2015	3:23 AM	3.60	NaN	RFU	1.00	nm1	5590.5	514	Blue
Meas A9	Default	4/7/2015	3:24 AM	1.92	NaN	RFU	1.00	nm1	10283.4	514	Blue
Meas A10	Default	4/7/2015	3:24 AM	10.00	NaN	RFU	1.00	nm1	881.3	514	Blue
Meas A11	Default	4/7/2015	3:24 AM	10.00	NaN	RFU	1.00	nm1	19.0	514	Blue
Meas A12	Default	4/7/2015	3:25 AM	10.00	NaN	RFU	1.00	nm1	28.2	514	Blue
Meas A13	Default	4/7/2015	3:25 AM	3.16	NaN	RFU	1.00	nm1	6353.2	514	Blue
Meas A14	Default	4/7/2015	3:25 AM	10.00	NaN	RFU	1.00	nm1	351.2	514	Blue
Meas A15	Default	4/7/2015	3:26 AM	2.48	NaN	RFU	1.00	nm1	8072.9	514	Blue
Blank	Default	4/7/2015	3:27 AM	10.00	NaN	RFU	1.00	nm1	14.4	514	Blue
Meas A16	Default	4/7/2015	3:27 AM	2.20	NaN	RFU	1.00	nm1	9021.2	514	Blue
Meas A17	Default	4/7/2015	3:27 AM	2.20	NaN	RFU	1.00	nm1	9130.4	514	Blue
Meas A18	Default	4/7/2015	3:28 AM	10.00	NaN	RFU	1.00	nm1	420.5	514	Blue
Meas A19	Default	4/7/2015	3:28 AM	10.00	NaN	RFU	1.00	nm1	1003.6	514	Blue
Meas A20	Default	4/7/2015	3:28 AM	10.00	NaN	RFU	1.00	nm1	16.6	514	Blue
Meas A21	Default	4/7/2015	3:34 AM	10.00	NaN	RFU	1.00	nm1	1689.5	514	Blue
Meas A22	Default	4/7/2015	3:34 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas A23	Default	4/7/2015	3:35 AM	10.00	NaN	RFU	1.00	nm1	853.1	514	Blue
Meas A24	Default	4/7/2015	3:35 AM	10.00	NaN	RFU	1.00	nm1	45.1	514	Blue
Meas A25	Default	4/7/2015	3:35 AM	2.44	NaN	RFU	1.00	nm1	8183.8	514	Blue
Meas A26	Default	4/7/2015	3:36 AM	4.12	NaN	RFU	1.00	nm1	4872.8	514	Blue
Meas A27	Default	4/7/2015	3:36 AM	2.16	NaN	RFU	1.00	nm1	9208.4	514	Blue
Meas A28	Default	4/7/2015	3:36 AM	5.80	NaN	RFU	1.00	nm1	427.6	514	Blue
Meas A29	Default	4/7/2015	3:37 AM	2.92	NaN	RFU	1.00	nm1	6871.7	514	Blue
Meas A30	Default	4/7/2015	3:37 AM	3.40	NaN	RFU	1.00	nm1	5911.7	514	Blue
Blank	Default	4/7/2015	3:37 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas B1	Default	4/7/2015	3:38 AM	2.48	NaN	RFU	1.00	nm1	7986.0	514	Blue
Meas B2	Default	4/7/2015	3:38 AM	2.40	NaN	RFU	1.00	nm1	8383.9	514	Blue
Meas B3	Default	4/7/2015	3:38 AM	2.20	NaN	RFU	1.00	nm1	9018.5	514	Blue
Meas B4	Default	4/7/2015	3:39 AM	2.68	NaN	RFU	1.00	nm1	7403.0	514	Blue
Meas B5	Default	4/7/2015	3:39 AM	2.32	NaN	RFU	1.00	nm1	8621.4	514	Blue
Meas B6	Default	4/7/2015	3:39 AM	2.04	NaN	RFU	1.00	nm1	9814.8	514	Blue
Meas B7	Default	4/7/2015	3:40 AM	2.68	NaN	RFU	1.00	nm1	7401.4	514	Blue
Meas B8	Default	4/7/2015	3:40 AM	1.24	NaN	RFU	1.00	nm1	8810.1	514	Blue
Meas B9	Default	4/7/2015	3:40 AM	2.40	NaN	RFU	1.00	nm1	8199.6	514	Blue
Meas B10	Default	4/7/2015	3:41 AM	2.04	NaN	RFU	1.00	nm1	9808.7	514	Blue
Meas B11	Default	4/7/2015	3:41 AM	2.08	NaN	RFU	1.00	nm1	9570.2	514	Blue
Blank	Default	4/7/2015	3:41 AM	10.00	NaN	RFU	1.00	nm1	0.0	514	Blue
Meas C1	Default	4/7/2015	3:47 AM	2.24	NaN	RFU	1.00	nm1	8952.8	514	Blue
Meas C2	Default	4/7/2015	3:47 AM	5.68	NaN	RFU	1.00	nm1	3428.1	514	Blue
Meas C3	Default	4/7/2015	3:48 AM	2.24	NaN	RFU	1.00	nm1	8910.3	514	Blue
Meas C4	Default	4/7/2015	3:48 AM	2.20	NaN	RFU	1.00	nm1	9122.4	514	Blue
Meas C5	Default	4/7/2015	3:48 AM	2.24	NaN	RFU	1.00	nm1	8979.6	514	Blue
Meas C6	Default	4/7/2015	3:49 AM	2.68	NaN	RFU	1.00	nm1	7454.8	514	Blue
Meas C7	Default	4/7/2015	3:49 AM	2.16	NaN	RFU	1.00	nm1	9204.9	514	Blue
Meas C8	Default	4/7/2015	3:49 AM	2.20	NaN	RFU	1.00	nm1	9219.9	514	Blue
