"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","12/2/2015","5:54 PM"

"SN","MAGPX12241704"
"Batch","Jay John Mic 27-33 - 20160205 Batch3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Jay John Mice 27-33 - 20160205"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","50 uL"
"SampleWash","Off"
"BatchStartTime","12/2/2015 5:59:58 PM"
"BatchStopTime","12/2/2015 6:29:03 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/29/2016 1:58:30 PM"
"Last VER Verification","Passed 1/29/2016 1:59:37 PM"
"Last Fluidics Test","Passed 1/29/2016 2:01:03 PM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B47733","5/7/2017","1/29/2016 1:58:30 PM","23.1","23.1","23.1","23.1","309","358","388","388","0.00699","0.00698","0.00385","0.11513","Pass","MAGPX12241704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 28","Analyte 33","Analyte 39","Total Events"
"Unknown46","219","285.5","296"
"Unknown47","152","211.5","210.5"
"Unknown48","17","9","77"
"Unknown49","16","10","81"

"DataType:","Units"
"Analyte:","Analyte 28","Analyte 33","Analyte 39"
"BeadID:","28","33","39"
"Units:","","",""

"DataType:","Per Bead Count"
"Analyte:","Analyte 28","Analyte 33","Analyte 39"
"BeadID:","28","33","39"
"Per Bead:","50","50","50"

"DataType:","Dilution Factor"
"Location","Sample","Dilution Factor"
"41(1,A6)","Unknown1","1"
"42(1,B6)","Unknown2","1"
"43(1,C6)","Unknown3","1"
"44(1,D6)","Unknown4","1"
"45(1,E6)","Unknown5","1"
"46(1,F6)","Unknown6","1"
"47(1,G6)","Unknown7","1"
"50(1,B7)","Unknown8","1"
"51(1,C7)","Unknown9","1"
"53(1,E7)","Unknown10","1"
"54(1,F7)","Unknown11","1"
"55(1,G7)","Unknown12","1"
"58(1,B8)","Unknown13","1"
"59(1,C8)","Unknown14","1"
"60(1,D8)","Unknown15","1"
"61(1,E8)","Unknown16","1"
"62(1,F8)","Unknown17","1"
"63(1,G8)","Unknown18","1"
"65(1,A9)","Unknown19","1"
"66(1,B9)","Unknown20","1"
"67(1,C9)","Unknown21","1"
"68(1,D9)","Unknown22","1"
"69(1,E9)","Unknown23","1"
"70(1,F9)","Unknown24","1"
"71(1,G9)","Unknown25","1"
"73(1,A10)","Unknown26","1"
"74(1,B10)","Unknown27","1"
"75(1,C10)","Unknown28","1"
"76(1,D10)","Unknown29","1"
"77(1,E10)","Unknown30","1"
"78(1,F10)","Unknown31","1"
"79(1,G10)","Unknown32","1"
"80(1,H10)","Unknown33","1"
"81(1,A11)","Unknown34","1"
"82(1,B11)","Unknown35","1"
"83(1,C11)","Unknown36","1"
"84(1,D11)","Unknown37","1"
"85(1,E11)","Unknown38","1"
"86(1,F11)","Unknown39","1"
"87(1,G11)","Unknown40","1"
"88(1,H11)","Unknown41","1"
"89(1,A12)","Unknown42","1"
"90(1,B12)","Unknown43","1"
"91(1,C12)","Unknown44","1"
"92(1,D12)","Unknown45","1"
"93(1,E12)","Unknown46","1"
"94(1,F12)","Unknown47","1"
"95(1,G12)","Unknown48","1"
"96(1,H12)","Unknown49","1"


"DataType:","Analysis Types"
"Analyte:","Analyte 28","Analyte 33","Analyte 39"
"AnalysisType","None","None","None"

"DataType:","Audit Logs"
"UserId","Date","Message"

"DataType:","Warnings/Errors"
"Location","Status","Message"
"1,B11","Ok","The acquisition had at least one region that did not reach the specified count."
"1,B12","Ok","The acquisition had at least one region that did not reach the specified count."

-- CRC --
CRC32: 64CE60E2
